LATITUDE,LONGITUDE,address,name
38.1180209,13.3573658,"Via Francesco Raimondo, 3",Chiesa di Sant' Agostino
38.1129449,13.3597036,"Piazza Santa Chiara, 11",Chiesa di Santa Chiara
38.1164876,13.3664166,Piazza San Francesco d'Assisi,Chiesa di San Francesco d'Assisi
38.1172428,13.3720626,"Via Torremuzza, 1",Chiesa di Santa Maria della Piet?
38.1202836,13.3641289,Largo Cavalieri di Malta,Chiesa di Santa Maria in Valverde
38.1137422,13.3556064,"Via Matteo Bonello, 2",Palazzo Arcivescovile
38.1145461,13.3602612,"Piazza Bologni, 18",Palazzo Bologna di Villafranca Alliata
38.1213946,13.3622687,"Via Bara All'Olivella, 2",Palazzo Branciforte
38.1125919,13.3635338,"Via Maqueda, 100",Palazzo Comitini
38.1100937,13.3521357,Piazza Indipendenza,Palazzo Reale o dei Normanni
38.1240725,13.3517029,"Via Dante, 53",Palazzo Ziino
38.1117578,13.3597192,"Via Nunzio Nasi, 18",Torre di San Nicol? all'Albergheria
38.1148988,13.3591109,Corso Vittorio Emanuele,Cattedrale
38.1160083,13.3519929,"Via delle Cappuccinelle, 109",Chiesa del Monastero delle Cappuccinelle
38.1184857,13.3541904,"Via Porta Carini, 38",Chiesa dell'Immacolata Concezione al Capo
38.1153903,13.3677400,"Piazzetta Chiesa Cocchieri, 1",Chiesa della Madonna dell'Itria ai Cocchieri
38.1127839,13.3607660,"Piazza Casa Professa, 1",Biblioteca Comunale
38.1285910,13.3463213,"Via Salinas, 3",Biblioteca Comunale Villa Trabia
38.1116229,13.3543969,"Via dei Pellegrini, 2",Chiesa di Santa Cristina La Vetere
38.1197079,13.3601774,Via Patania,Chiesa di San Gioacchino (al Collegio Maria all'Olivella)
38.1226102,13.3640594,Piazza San Giorgio dei Genovesi,Chiesa di San Giorgio dei Genovesi
38.1163377,13.3629899,"Via Vittorio Emanuele, 247",Chiesa di San Matteo
38.1148940,13.3591001,"Via Vittorio Emanuele, 395",Oratorio del SS. Salvatore
38.1166314,13.3531771,"Via del Noviziato, 1",Chiesa di San Stanislao Kostka
38.0815576,13.2924656,Piazza Duomo,Duomo di Monreale
38.1159196,13.3713394,Piazzetta dei Bianchi,Oratorio dei Bianchi
38.1202549,13.3605392,"Via Monteleone, 50",Oratorio di Santa Caterina d'Alessandria
38.1193334,13.3622343,Via Roma 320 / A,Oratorio di San Filippo Neri
38.1184125,13.3630608,"Via dell'Immacolatella, 5",Oratorio di San Lorenzo
38.1192870,13.3641200,"Via dei Bambinai, 2",Oratorio del Santissimo Rosario in San Domenico
38.1168913,13.3569054,Piazza Monte di Piet?,Oratorio di Santo Stefano Protomartire
38.1497629,13.3619686,via Pietro Bonanno,Santuario Santa Rosalia
38.1125847,13.3605768,"Piazza Casa Professa, 21",Chiesa del Ges? o di Casa Professa
38.1190671,13.3692133,Piazzetta delle Dogane,Chiesa di Santa Maria della Catena
38.1168692,13.3712693,"Via Alloro, 27",Chiesa Santa Maria degli Angeli (detta la Gancia)
38.1171657,13.3633386,Via Roma 203/A,Chiesa di Sant' Antonio Abate Magno
38.1152651,13.3628624,Piazza Bellini,Chiesa di Santa Caterina d'Alessandria
38.1187504,13.3631188,"Piazza S, Domenico",Chiesa di San Domenico
38.1184125,13.3630608,"Via Argenteria Nuova, 33",Chiesa di Sant'Eulalia dei Catalani
38.1090313,13.3590138,Piazza San Francesco Saverio,Chiesa di San Francesco Saverio
38.1050143,13.3813949,"Via Salvatore Cappello, 38",Chiesa di San Giovanni dei Lebbrosi
38.1099097,13.3544897,"Via dei Benedettini, 16",Chiesa di San Giuseppe Cafasso (ex S.Giorgio in Kemonia)
38.1148988,13.3591109,Corso Vittorio Emanuele,Chiesa di San Giuseppe dei Teatini
38.1186465,13.3540543,Via Porta di Carini,Chiesa di San Gregorio Papa
38.1206831,13.3613690,"Piazza Olivella, 1",Chiesa di Sant'Ignazio all'Olivella
38.1184125,13.3630608,"Piazza S, Giacomo La Marina, 13",Chiesa di Santa Maria La Nova
38.1176650,13.3678464,Piazza Marina,Chiesa di Santa Maria di Portosalvo
38.1165646,13.3725477,Via Torremuzza,Chiesa di San Mattia dei Crociferi
38.1135965,13.3628185,"Via Maqueda, 159",Chiesa di San Nicolo' da Tolentino
38.1168703,13.3606789,"Via Maqueda, 220",Chiesa di Santa Ninfa dei Crociferi
38.1229768,13.3600950,"Via Bentivegna, 62/b",Chiesa dei Santi Pietro e Paolo
38.1100937,13.3521357,Piazza Indipendenza,Cappella Palatina
38.1112740,13.3620289,Piazza del Carmine,Chiesa di Santa Maria del Carmine
38.1100902,13.3520862,"Piazza Indipendenza, 9",Chiesa della Madonna dei Rimedi dei Carmelitani Scalzi
38.1092429,13.3551666,Via Dei Benedettini,Chiesa di San Giovanni degli Eremiti
38.1202230,13.3618478,"Via Valverde, 1",Chiesa di San Mamiliano (Ex Santa Cita)
38.1117578,13.3597192,"Via Nunzio Nasi, 18",Chiesa di San Nicolo' di Bari (all'Albergheria)
38.1172141,13.3574302,Via Santo Spirito,Chiesa di Santo Spirito o dei Vespri
38.0821016,13.2901730,Piazza Duomo,Chiostro di Monreale
38.1109658,13.3611736,"Via Porta Sant' Agata, 5",Oratorio del Carminello
38.1202846,13.3621259,"Via Valverde, 3",Oratorio di Santa Cita
38.1100882,13.3534911,Piazza della Pinta,Oratorio di San Mercurio
38.1168401,13.3445182,Piazza Guglielmo il Buono,Castello della Zisa
38.1081386,13.3425586,"Corso Calatafimi,100",Cuba
